structure_id,formula,space_group,space_group_number,cif_file
gen_8_964,Na2FeO3,C2,5,gen_8_964.cif
gen_12_583,MnCO3,Cc,9,gen_12_583.cif
gen_13_374,MnCO3,P2_1,4,gen_13_374.cif
gen_17_732,Na2FeO3,Cmc2_1,36,gen_17_732.cif
gen_20_232,Ca2Mn2O5,Amm2,38,gen_20_232.cif
gen_32_686,MnCO3,Cmcm,63,gen_32_686.cif
gen_37_193,OHFe2F5,Amm2,38,gen_37_193.cif
gen_37_898,NiCO3,P2_1,4,gen_37_898.cif
